Program_ID,Known_CVE,Ground_Truth,CBMC_Result,Target_Property,Target_CWE,Verification_Alignment
prog_000001,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000001,CVE-2022-1001,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000002,CVE-2023-1002,VULNERABLE,SAT,main.overflow.1,CWE-119,TRUE_POSITIVE
prog_000002,BENIGN_PATCHED,BENIGN,SAT,main.overflow.1,CWE-119,FALSE_POSITIVE
prog_000003,CVE-2021-1004,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000003,CVE-2022-1005,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000004,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000004,CVE-2024-1007,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000005,CVE-2021-1008,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000005,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000006,CVE-2023-1010,VULNERABLE,UNSAT,bounds_check,CWE-119,FALSE_NEGATIVE
prog_000006,CVE-2024-1011,VULNERABLE,UNSAT,bounds_check,CWE-119,FALSE_NEGATIVE
prog_000007,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000007,CVE-2022-1013,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000008,CVE-2023-1014,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000008,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000009,CVE-2021-1016,VULNERABLE,SAT,breakPalindrome.pointer_dereference.17,CWE-676,TRUE_POSITIVE
prog_000009,CVE-2022-1017,VULNERABLE,SAT,breakPalindrome.pointer_dereference.17,CWE-676,TRUE_POSITIVE
prog_000010,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000010,CVE-2024-1019,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000011,CVE-2021-1020,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000011,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000012,CVE-2023-1022,VULNERABLE,UNSAT,bounds_check,CWE-676,FALSE_NEGATIVE
prog_000012,CVE-2024-1023,VULNERABLE,UNSAT,bounds_check,CWE-676,FALSE_NEGATIVE
prog_000013,BENIGN_PATCHED,BENIGN,SAT,main.overflow.1,CWE-134,FALSE_POSITIVE
prog_000013,CVE-2022-1025,VULNERABLE,SAT,main.overflow.1,CWE-134,TRUE_POSITIVE
prog_000014,CVE-2023-1026,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000014,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000015,CVE-2021-1028,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000015,CVE-2022-1029,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000016,BENIGN_PATCHED,BENIGN,PARSE_ERROR,bounds_check,CWE-676,INCONCLUSIVE
prog_000016,CVE-2024-1031,VULNERABLE,PARSE_ERROR,bounds_check,CWE-676,INCONCLUSIVE
prog_000017,CVE-2021-1032,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000017,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000018,CVE-2023-1034,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000018,CVE-2024-1035,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000019,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000019,CVE-2022-1037,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000020,CVE-2023-1038,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000020,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000021,CVE-2021-1040,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000021,CVE-2022-1041,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000022,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000022,CVE-2024-1043,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000023,CVE-2021-1044,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000023,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000024,CVE-2023-1046,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000025,CVE-2024-1047,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000026,BENIGN_PATCHED,BENIGN,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
prog_000027,CVE-2022-1049,VULNERABLE,INCONCLUSIVE,bounds_check,CWE-119,INCONCLUSIVE
