source,model,language,total_programs,final_analyzed,stage2_kappa_score
GITHUB,chatgpt,C,560,560,0.85
GITHUB,chatgpt,JavaScript,349,349,0.85
GITHUB,chatgpt,Python,251,251,0.85
GITHUB,claude,JavaScript,376,376,0.85
GITHUB,claude,Python,178,178,0.85
GITHUB,copilot,C,443,443,0.85
GITHUB,copilot,JavaScript,264,264,0.85
GITHUB,copilot,Python,157,157,0.85
GITHUB,deepseek,JavaScript,65,65,0.85
GITHUB,deepseek,Python,40,40,0.85
GITHUB,gemini,JavaScript,231,231,0.85
GITHUB,gemini,Python,164,164,0.85
GITHUB,gpt-4,C,13,13,0.85
GITHUB,gpt-4,JavaScript,98,98,0.85
GITHUB,gpt-4,Python,67,67,0.85
GITHUB,gpt4,C,74,74,0.85
GITHUB,gpt4,JavaScript,178,178,0.85
GITHUB,gpt4,Python,70,70,0.85
