Program_ID,Model,KLEE_Test_Cases,KLEE_TimeToCrash_Sec,Random_TimeToCrash_Sec,KLEE_Edge_Coverage_Pct,Random_Edge_Coverage_Pct,KLEE_Paths_Discovered,Random_Paths_Discovered,Coverage_Delta_Pct
prog_000001,copilot,8,6.46,26.76,60.0,47.64,25,13,12.36
prog_000001,copilot,7,7.26,26.96,60.0,47.64,23,12,12.36
prog_000002,copilot,8,7.73,30.03,60.0,40.37,25,13,19.63
prog_000002,copilot,10,6.13,29.63,60.0,40.37,30,16,19.63
prog_000003,copilot,8,7.36,27.66,60.0,46.74,25,13,13.26
prog_000003,copilot,10,5.76,27.26,60.0,46.74,30,16,13.26
prog_000004,copilot,8,7.52,27.82,49.0,31.58,25,13,17.42
prog_000004,copilot,5,9.92,28.42,49.0,31.58,15,8,17.42
prog_000005,copilot,8,7.57,27.87,60.0,42.53,25,13,17.47
prog_000005,copilot,10,5.97,27.47,60.0,42.53,30,16,17.47
prog_000006,copilot,8,6.15,28.45,60.0,45.95,25,13,14.05
prog_000006,copilot,10,4.55,28.05,60.0,45.95,30,16,14.05
prog_000007,copilot,8,6.63,28.93,60.0,41.47,25,13,18.53
prog_000007,copilot,10,5.03,28.53,60.0,41.47,30,16,18.53
prog_000008,copilot,8,7.7,28.0,45.0,27.4,25,13,17.6
prog_000008,copilot,1,13.3,29.4,45.0,27.4,2,5,17.6
prog_000009,copilot,8,6.11,28.41,60.0,45.99,25,13,14.01
prog_000009,copilot,10,4.51,28.01,60.0,45.99,30,16,14.01
prog_000010,copilot,8,6.92,27.22,53.0,40.18,25,13,12.82
prog_000010,copilot,2,11.72,28.42,53.0,40.18,8,5,12.82
prog_000011,copilot,8,7.55,29.85,60.0,44.55,25,13,15.45
prog_000011,copilot,7,8.35,30.05,60.0,44.55,21,11,15.45
prog_000012,copilot,8,7.76,28.06,59.0,41.34,25,13,17.66
prog_000012,copilot,6,9.36,28.46,59.0,41.34,19,10,17.66
prog_000013,copilot,8,6.38,26.68,60.0,43.72,25,13,16.28
prog_000013,copilot,4,9.58,27.48,60.0,43.72,12,6,16.28
prog_000014,copilot,8,6.62,26.92,49.0,32.48,25,13,16.52
prog_000014,copilot,5,9.02,27.52,49.0,32.48,17,9,16.52
prog_000015,copilot,8,6.7,27.0,60.0,47.4,25,13,12.6
prog_000015,copilot,4,9.9,27.8,60.0,47.4,13,7,12.6
prog_000016,copilot,8,7.43,27.73,60.0,42.67,25,13,17.33
prog_000016,copilot,4,10.63,28.53,60.0,42.67,12,6,17.33
prog_000017,copilot,8,6.98,29.28,59.0,40.12,25,13,18.88
prog_000017,copilot,4,10.18,30.08,59.0,40.12,12,6,18.88
prog_000018,copilot,8,7.43,29.73,45.0,25.67,25,13,19.33
prog_000018,copilot,1,13.03,31.13,45.0,25.67,3,5,19.33
prog_000019,copilot,8,6.9,29.2,45.0,26.2,25,13,18.8
prog_000019,copilot,1,12.5,30.6,45.0,26.2,4,5,18.8
prog_000020,copilot,8,7.0,27.3,60.0,47.1,25,13,12.9
prog_000020,copilot,6,8.6,27.7,60.0,47.1,18,9,12.9
prog_000021,copilot,8,6.16,26.46,60.0,43.94,25,13,16.06
prog_000021,copilot,4,9.36,27.26,60.0,43.94,13,7,16.06
prog_000022,copilot,8,7.52,29.82,60.0,44.58,25,13,15.42
