Program_ID,Model,Language,Static_Flagged,CBMC_SAT,Dynamic_Crashed,Dynamic_CWE,Edge_Coverage_Pct,Classification,Cell_Label
prog_000001,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000002,copilot,C,0,1,0,CWE-327,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000003,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000004,copilot,C,0,0,0,NONE,49.0,PROVEN_SAFE,NONE
prog_000005,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000006,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000007,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000008,copilot,C,0,0,0,NONE,45.0,PROVEN_SAFE,NONE
prog_000009,copilot,C,1,1,0,NONE,60.0,CONFIRMED_VULNERABLE,STATIC_FORMAL
prog_000010,copilot,C,0,0,0,NONE,53.0,PROVEN_SAFE,NONE
prog_000011,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000012,copilot,C,1,0,0,CWE-327,59.0,STATIC_FP_RISK,STATIC_ONLY
prog_000013,copilot,C,1,1,0,NONE,60.0,CONFIRMED_VULNERABLE,STATIC_FORMAL
prog_000014,copilot,C,0,0,0,NONE,49.0,PROVEN_SAFE,NONE
prog_000015,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000016,copilot,C,1,0,0,NONE,60.0,STATIC_FP_RISK,STATIC_ONLY
prog_000017,copilot,C,0,0,0,NONE,59.0,PROVEN_SAFE,NONE
prog_000018,copilot,C,0,0,0,NONE,45.0,PROVEN_SAFE,NONE
prog_000019,copilot,C,0,0,0,NONE,45.0,PROVEN_SAFE,NONE
prog_000020,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000021,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000022,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000023,copilot,C,0,0,0,NONE,53.0,PROVEN_SAFE,NONE
prog_000024,copilot,C,0,1,0,CWE-327,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000025,copilot,C,0,1,0,CWE-327,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000026,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000027,copilot,C,0,0,0,CWE-327,49.0,PROVEN_SAFE,NONE
prog_000028,copilot,C,0,1,0,NONE,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000029,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000030,copilot,C,0,0,0,CWE-327,47.0,PROVEN_SAFE,NONE
prog_000031,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000032,copilot,C,0,1,0,CWE-327,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000033,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000034,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000035,copilot,C,0,0,0,NONE,47.0,PROVEN_SAFE,NONE
prog_000036,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000037,copilot,C,0,0,0,NONE,47.0,PROVEN_SAFE,NONE
prog_000038,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000039,copilot,C,1,0,0,NONE,60.0,STATIC_FP_RISK,STATIC_ONLY
prog_000040,copilot,C,0,1,0,CWE-327,60.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000041,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000042,copilot,C,0,0,0,NONE,49.0,PROVEN_SAFE,NONE
prog_000043,copilot,C,0,0,0,NONE,49.0,PROVEN_SAFE,NONE
prog_000044,copilot,C,0,0,0,NONE,51.0,PROVEN_SAFE,NONE
prog_000045,copilot,C,0,0,0,NONE,53.0,PROVEN_SAFE,NONE
prog_000046,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000047,copilot,C,0,1,0,NONE,49.0,FORMAL_SAT_UNFLAGGED,FORMAL_ONLY
prog_000048,copilot,C,0,0,0,NONE,60.0,PROVEN_SAFE,NONE
prog_000049,copilot,C,1,0,0,CWE-327,60.0,STATIC_FP_RISK,STATIC_ONLY
prog_000050,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000051,copilot,C,0,0,0,NONE,57.0,PROVEN_SAFE,NONE
prog_000052,copilot,C,0,0,0,NONE,51.0,PROVEN_SAFE,NONE
prog_000053,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000054,copilot,C,0,0,0,CWE-327,49.0,PROVEN_SAFE,NONE
prog_000055,copilot,C,0,0,0,CWE-327,60.0,PROVEN_SAFE,NONE
prog_000056,copilot,C,1,0,0,CWE-327,49.0,STATIC_FP_RISK,STATIC_ONLY
